ICN,Corporation,Incorporation Date,Status,Status Date,Size,ABN,State,Post Code,Locality,Industry,ACNC Registered?,Numbe of Members,Numbe of Directors,Number of Directors with the Title 'Mr',Number of Directors with the Title 'Miss' or 'Mrs' or 'Ms',Number of Directors with no Sex-Identifying Title,Total Income 2019/20,Total Assets 2019/20,Number of Employees 2019/20,Total Income 2020/21,Total Assets 2020/21,Number of Employees 2020/21,Total Income 2021/22,Total Assets 2021/22,Number of Employees 2021/22,URL,,,,,,,,,,,,,
2,Urapuntja Health Service Aboriginal Corporation,01/02/1979,Registered,1/02/1979,Large,45449518275,NT,0871,ALICE SPRINGS,Community services; Health care and health promotion,Y,57,5,1,4,0,> $5m,> $2.5m, 5-24,$100K - $5m,> $2.5m,> 24,$100K - $5m,> $2.5m,> 24,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=2,,,,,,,,,,,,,
3,Warran Aboriginal Corporation,06/04/1999,Deregistered,17/06/2005,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3,,,,,,,,,,,,,
4,Cabarita Aboriginal Corporation,19/12/1978,Deregistered,4/01/2000,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=4,,,,,,,,,,,,,
5,North Midlands Aboriginal Corporation,09/03/1979,Deregistered,24/10/2009,Medium,52674096450,WA,6517,CARNAMAH,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=5,,,,,,,,,,,,,
7,Gwydir Property Aboriginal Corporation,26/04/1979,Deregistered,8/08/2001,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=7,,,,,,,,,,,,,
8,Ilpeye-Ilpeye Aboriginal Corporation,12/07/1979,Registered,12/07/1979,Small,85957577919,NT,0870,ALICE SPRINGS,Land and waters management?care for Country,Y,19,8,2,2,0,< $100K,$100K - $2.5m,0,< $100K,$100K - $2.5m,0,< $100K,$100K - $2.5m,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8,,,,,,,,,,,,,
9,Worimi Aboriginal Corporation,11/07/1979,Deregistered,29/11/1983,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=9,,,,,,,,,,,,,
10,Tingha Aboriginal Corporation,23/05/1979,Deregistered,10/08/2005,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=10,,,,,,,,,,,,,
11,Yardoogarra Aboriginal Corporation,27/07/1979,Deregistered,15/05/2007,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=11,,,,,,,,,,,,,
12,Broome Regional Aboriginal Medical Service (Aboriginal Corporation),27/07/1979,Registered,27/07/1979,Large,23750533168,WA,6725,BROOME,Community services; Health care and health promotion,Y,41,7,3,3,0,> $5m,> $2.5m,> 24,> $5m,> $2.5m,> 24,> $5m,> $2.5m,> 24,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=12,,,,,,,,,,,,,
13,Narromine Aboriginal Corporation,06/09/1979,Deregistered,2/08/1995,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=13,,,,,,,,,,,,,
14,Kooloonbung Aboriginal Corporation,22/08/1979,Deregistered,17/04/1984,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=14,,,,,,,,,,,,,
15,Kamarah Aboriginal Corporation,14/08/1979,Deregistered,6/04/2011,Small,89566712664,NSW,2324,KARUAH,Housing and tenancy,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=15,,,,,,,,,,,,,
16,Mitakoodi Aboriginal Corporation,01/07/1980,Registered,1/07/1980,Medium,78837084577,QLD,4824,CLONCURRY,Housing and tenancy; Other,Y,189,3,0,2,0,$100K - $5m,> $2.5m, 1-4,$100K - $5m,> $2.5m, 1-4,$100K - $5m,> $2.5m, 5-24,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=16,,,,,,,,,,,,,
17,Buai Torres Strait Islanders Corporation,11/12/1979,Deregistered,23/10/1998,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=17,,,,,,,,,,,,,
